,city,latitud,longitud,temperature,wind_speed,cloudiness,humidity,date
177,paamiut,61.99,-49.67,278.7,2.3,100,90,1562821237
178,shitanjing,39.23,106.34,303.2,4.17,3,20,1562821237
179,port keats,-14.25,129.55,302.2,5.17,84,32,1562821237
180,champerico,16.38,-93.6,296.15,1.61,75,83,1562821238
181,craig,40.52,-107.55,293.15,2.41,1,51,1562821238
182,nouadhibou,20.93,-17.03,293.15,8.7,1,82,1562821238
183,iquitos,-3.75,-73.25,296.15,0.72,0,94,1562821040
184,faanui,-16.48,-151.75,298.6,2.91,12,70,1562821239
185,whitefish,48.41,-114.33,295.15,1.5,75,49,1562821128
186,evensk,61.92,159.24,299.0,4.84,0,37,1562821240
187,zasheyek,67.41,32.55,279.7,5.54,38,66,1562821240
188,avarua,-21.21,-159.78,297.15,3.1,81,78,1562821241
189,saint george,39.45,22.34,294.26,4.1,75,93,1562821241
190,inirida,3.87,-67.92,294.7,1.06,38,98,1562821241
191,severo-kurilsk,50.68,156.12,279.2,9.59,100,97,1562821066
192,aksarka,66.56,67.8,290.8,6.09,100,90,1562821242
193,hambantota,6.12,81.12,304.15,6.2,75,70,1562821043
194,broken hill,-31.97,141.45,291.15,9.3,43,42,1562821204
195,caconda,-13.73,15.06,281.6,1.17,0,27,1562821243
196,aksay,51.17,53.01,297.1,2.72,0,38,1562821243
197,hasaki,35.73,140.83,296.15,2.1,75,69,1562821243
198,ulaanbaatar,47.92,106.92,301.15,2.0,40,24,1562821244
199,svarstad,59.4,9.97,289.82,0.68,0,67,1562821244
200,georgetown,6.8,-58.16,296.15,2.1,40,100,1562820967
201,lorengau,-2.02,147.27,300.5,4.84,100,75,1562821245
202,marzuq,14.4,46.47,304.4,2.04,36,26,1562821212
203,koronowo,53.31,17.94,284.82,2.6,75,93,1562821245
204,starosubkhangulovo,53.1,57.43,293.2,3.93,13,51,1562821245
205,leshukonskoye,64.9,45.76,279.1,4.1,100,94,1562821246
206,erenhot,43.65,111.97,301.7,2.71,24,22,1562821246
207,salamiyah,35.01,37.05,304.4,5.92,0,26,1562821247
208,cockburn town,21.46,-71.14,300.5,8.42,10,86,1562821247
209,olavarria,-36.89,-60.32,281.48,1.27,100,86,1562821247
210,ruteng,-8.61,120.46,300.7,2.3,1,53,1562821248
211,la ronge,55.1,-105.3,286.15,3.6,90,100,1562821248
212,padang,-0.92,100.36,301.7,2.94,0,75,1562821145
213,lakatoro,-16.11,167.42,300.0,5.33,51,78,1562821249
214,kibala,9.11,18.35,296.15,5.1,20,88,1562821249
215,pachino,36.72,15.09,293.15,1.5,0,72,1562821205
216,port elizabeth,39.31,-74.98,297.15,2.1,1,68,1562821250
217,nambucca heads,-30.64,152.99,297.59,5.1,0,43,1562821250
218,wiarton,44.74,-81.13,296.48,5.7,20,78,1562821250
219,mombaca,-5.74,-39.63,293.4,3.66,84,88,1562821251
220,sioux lookout,50.1,-91.92,288.15,1.5,75,100,1562821251
221,sao filipe,14.9,-24.5,295.4,6.47,47,87,1562821251
222,nanortalik,60.14,-45.24,276.5,0.18,13,93,1562821252
223,tiksi,71.64,128.87,286.2,2.83,100,54,1562820958
224,sitka,37.17,-99.65,296.48,4.22,35,78,1562821253
225,great falls,47.5,-111.29,295.15,4.1,75,60,1562821253
226,bathsheba,13.22,-59.52,300.15,7.7,40,74,1562821192
227,jacareacanga,-6.22,-57.76,294.5,0.74,7,86,1562821254
228,bestobe,52.5,73.1,300.7,6.03,85,29,1562821254
229,buraydah,26.33,43.97,300.15,2.1,0,42,1562821255
230,baruun-urt,46.68,113.28,300.6,3.85,11,28,1562821204
231,cherskiy,68.75,161.3,301.4,2.26,58,29,1562821255
232,brae,60.4,-1.35,285.15,4.6,100,93,1562821256
233,comodoro rivadavia,-45.87,-67.48,279.15,1.76,20,93,1562821256
234,lata,30.78,78.62,283.4,3.28,95,96,1562821256
235,kouroussa,10.65,-9.88,293.8,2.94,99,97,1562821257
236,kilindoni,-7.91,39.67,298.1,10.49,61,75,1562821257
237,dekar,-21.53,21.93,285.1,3.3,0,38,1562821258
238,orel-izumrud,43.46,39.92,295.15,3.0,90,73,1562821258
239,junagarh,19.86,82.94,305.3,5.2,100,59,1562821258
240,moranbah,-22.0,148.04,296.7,2.38,44,48,1562821259
241,chikodi,16.43,74.6,295.15,3.1,75,94,1562821259
242,clyde river,70.47,-68.59,283.15,2.1,1,71,1562821259
243,namibe,-15.19,12.15,292.2,4.24,15,81,1562821260
244,saldanha,41.42,-6.55,293.2,1.46,0,53,1562821260
245,hanzhong,33.08,107.03,296.6,1.63,100,68,1562821260
246,port blair,11.67,92.75,304.15,5.7,40,70,1562821225
247,tumut,-35.3,148.22,278.8,4.1,100,96,1562821261
248,campos altos,-19.7,-46.17,282.2,0.42,0,76,1562821261
249,cassilandia,-19.11,-51.73,288.0,2.64,0,51,1562821261
250,christchurch,-43.53,172.64,285.15,1.5,52,66,1562821140
251,lasa,34.92,32.53,301.15,2.1,0,45,1562821262
252,kavaratti,10.57,72.64,303.15,5.1,40,79,1562821262
253,riyadh,24.63,46.72,303.15,1.5,0,15,1562821263
254,phalaborwa,-23.95,31.14,288.15,2.6,0,51,1562821263
255,yatou,3.63,9.81,297.15,1.5,75,100,1562821263
256,mahebourg,-20.41,57.7,296.48,2.6,40,88,1562821122
257,cortez,37.35,-108.58,292.15,1.5,1,29,1562821264
258,mapastepec,15.44,-92.9,296.9,1.5,100,86,1562821264
259,verkhoyansk,67.55,133.39,301.9,3.8,1,26,1562821265
260,gat,14.69,-16.54,296.15,3.1,0,83,1562821265
261,lagoa,37.14,-8.45,294.82,2.6,0,64,1562821265
262,bara,10.41,10.6,295.8,4.51,100,88,1562821265
263,narsaq,60.91,-46.05,280.15,2.6,50,81,1562821266
264,tutoia,-2.76,-42.27,294.7,1.3,0,97,1562821266
265,namatanai,-3.66,152.44,299.7,9.76,100,79,1562821267
266,innisfail,-17.52,146.03,297.04,2.24,82,65,1562821267
267,mehamn,71.03,27.85,282.15,1.5,0,76,1562821267
268,nemuro,43.32,145.57,289.15,4.6,75,77,1562821268
269,torbay,47.66,-52.73,281.48,2.6,90,100,1562821269
270,lamar,38.09,-102.62,297.15,4.1,1,60,1562821269
271,ko samui,9.54,99.94,305.15,1.5,20,70,1562821107
272,sarangani,5.4,125.46,301.4,5.07,99,73,1562821269
273,sao pedro do sul,-29.62,-54.18,288.5,1.89,56,94,1562821270
274,corredor,-11.83,-41.77,289.1,2.79,59,88,1562821270
275,escarcega,18.61,-90.75,295.9,1.96,100,88,1562821271
276,susanville,40.42,-120.65,296.15,3.6,1,38,1562821135
277,salinopolis,-0.61,-47.36,300.2,6.58,69,76,1562821271
278,shubarkuduk,49.15,56.49,300.7,1.9,0,42,1562821271
279,hornepayne,49.22,-84.78,288.3,3.92,69,89,1562821272
280,san carlos de bariloche,-41.13,-71.31,274.15,2.14,40,94,1562821272
281,nuuk,64.17,-51.74,279.15,4.1,97,93,1562821273
